Name,Country,Age,Height,Weight,Sex,Date of birth,Place of birth,Sport,Event,Medal_Winner,Gold,Silver,Bronze
German Sanchez Sanchez,Mexico,20,167,47,Male,6/24/1992,GUADALAJARA (MEX),Diving,"Men's 10m Platform, Men's Synchronised 10m Platform",Won,,0.5,
Gesa Felicitas Krause,Germany,20,167,50,Female,8/3/1992,EHRINGSHAUSEN (GER),Athletics,Women's 3000m Steeplechase,Not Won,,,
Getu Feleke,Ethiopia,25,,,Male,11/28/1986,ALELTU (ETH),Athletics,Men's Marathon,Not Won,,,
Gevrise Emane,France,30,160,63,Female,7/27/1982,Yaoundé (CMR),Judo,Women's -63kg,Won,,,1
Geza Imre,Hungary,37,184,76,Male,12/23/1974,,Fencing,Men's Individual Epee,Not Won,,,
Ghada Hassine,Tunisia,19,156,69,Female,5/17/1993,SFAX,Weightlifting,Women's 69kg,Not Won,,,
Ghfran Almouhamad,Syrian Arab Republic,23,176,72,Female,6/6/1989,Aleppo (SYR),Athletics,Women's 400m Hurdles,Not Won,,,
Gia Lewis-Smallwood,United States of America,33,183,93,Female,4/1/1979,Urbana (USA),Athletics,Women's Discus Throw,Not Won,,,
Gia Machavariani,Georgia,27,170,105,Male,2/26/1985,KHARAGAULI (GEO),Weightlifting,Men's 105kg,Not Won,,,
Giacomo Pastorino,Italy,32,191,89,Male,6/7/1980,Savona (ITA),Water Polo,Men's Water Polo,Not Won,,,
Giacomo Perez-Dortona,France,22,183,82,Male,11/11/1989,LA SEYNE SUR MER (FRA),Swimming,"Men's 100m Breaststroke, Men's 4x100m Medley Relay",Not Won,,,
Gianfranco Sibello,Italy,36,188,84,Male,10/4/1975,ALASSIO (ITA),Sailing,Men's 49er,Not Won,,,
Gianluca Maglia,Italy,23,194,77,Male,12/12/1988,Catania (ITA),Swimming,Men's 4x200m Freestyle Relay,Not Won,,,
Gianmarco Tamberi,Italy,20,,,Male,7/1/1992,CIVITANOVA MARCHE (ITA),Athletics,Men's High Jump,Not Won,,,
Gideon Kliger,Israel,32,170,60,Male,3/30/1980,PETACH TIQVA (ISR),Sailing,Men's 470,Not Won,,,
Gideon Louw,South Africa,24,194,93,Male,9/4/1987,Pretoria (RSA),Swimming,"Men's 50m Freestyle, Men's 100m Freestyle, Men's 4x100m Freestyle Relay, Men's 4x100m Medley Relay",Not Won,,,
Gideon van Zyl,South Africa,22,180,73,Male,11/24/1989,Johannesburg (RSA),Judo,Men's -73kg,Not Won,,,
Gijs van Hoecke,Belgium,20,186,75,Male,11/12/1991,Gent (BEL),Cycling - Track,"Men's Omnium, Men's Team Pursuit",Not Won,,,
Gil Cohen,Israel,20,170,57,Female,7/7/1992,HAIFA (ISR),Sailing,Women's 470,Not Won,,,
Gil Ok Jung,Republic of Korea,31,168,53,Female,9/15/1980,,Fencing,"Women's Individual Foil, Women's Team Foil",Not Won,,,
Gilbert Choombe,Zambia,20,160,,Male,3/7/1992,CHOMA (ZAM),Boxing,Men's Light Welter (64kg),Not Won,,,
Gilberto Godoy Filho,Brazil,35,192,85,Male,12/23/1976,,Volleyball,Men's Volleyball,Not Won,,,
Gilles Marquet,Mauritius,18,187,72,Male,1/11/1994,Port,Swimming,Men's 200m Freestyle,Not Won,,,
Gilles Muller,Luxembourg,29,192,75,Male,5/9/1983,,Tennis,Men's Singles,Not Won,,,
Gilles Simon,France,27,180,69,Male,12/27/1984,,Tennis,Men's Singles,Not Won,,,
Gillian Carleton,Canada,22,179,68,Female,12/3/1989,Scarborough (CAN),Cycling - Track,Women's Team Pursuit,Won,,,0.33
Gillian Sanders,South Africa,30,168,53,Female,10/15/1981,Johannesburg (RSA),Triathlon,Women's Triathlon,Not Won,,,
Gina Altagracia Mambru Casilla,Dominican Republic,26,180,65,Female,1/21/1986,Santo Domingo (DOM),Volleyball,Women's Volleyball,Not Won,,,
Gintare Scheidt,Lithuania,29,171,65,Female,11/12/1982,Kaunas (LTU),Sailing,Women's Laser Radial,Not Won,,,
Gintare Venckauskaite,Lithuania,19,170,54,Female,11/4/1992,Klaipeda (LTU),Modern Pentathlon,Women's Modern Pentathlon,Not Won,,,
Gioia Marzocca,Italy,33,169,59,Female,6/22/1979,,Fencing,Women's Individual Sabre,Not Won,,,
Giordan Harris,Marshall Islands,19,183,98,Male,4/19/1993,NEVADA (USA),Swimming,Men's 50m Freestyle,Not Won,,,
Giorgi Nadiradze,Georgia,24,178,70,Male,9/25/1987,Tbilisi (GEO),Cycling - Road,Men's Road Race,Not Won,,,
Giorgia Bronzini,Italy,29,161,54,Female,8/3/1983,PIACENZA (ITA),Cycling - Road,Women's Road Race,Not Won,,,
Giorgia Campana,Italy,17,152,,Female,5/16/1995,Roma (ITA),Gymnastics - Artistic,"Women's Team, Women's Qualification",Not Won,,,
Giorgio Avola,Italy,23,178,70,Male,08/05/1989 (ITA),,Fencing,Men's Team Foil,Won,0.33,,
Giorgio Rubino,Italy,26,170,77,Male,4/15/1986,Roma (ITA),Athletics,Men's 20km Race Walk,Not Won,,,
Giovani dos Santos,Mexico,23,172,70,Male,5/11/1989,,Football,Men's Football,Not Won,,,
Giovanna Blanco,Venezuela,29,175,120,Female,12/18/1982,EL TIGRE (VEN),Judo,Women's +78kg,Not Won,,,
Giovanna Micol,Italy,30,178,69,Female,4/18/1982,Trieste (ITA),Sailing,Women's 470,Not Won,,,
Giovanni Cernogoraz,Croatia,29,,,Male,12/27/1982,Koper (SLO),Shooting,Men's Trap,Won,1,,
Giovanni Codrington,Netherlands,24,177,80,Male,7/17/1988,Paramaribo (SUR),Athletics,Men's 4 x 100m Relay,Not Won,,,
Giovanni Pellielo,Italy,42,173,93,Male,1/11/1970,VERCELLI (ITA),Shooting,Men's Trap,Not Won,,,
Gisela Dulko,Argentina,27,170,56,Female,1/30/1985,,Tennis,"Women's Doubles, Mixed Doubles",Not Won,,,
Giulia Arcioni,Italy,26,171,55,Female,3/21/1986,Roma (ITA),Athletics,Women's 4 x 400m Relay,Not Won,,,
Giulia Conti,Italy,26,172,62,Female,11/4/1985,Roma (ITA),Sailing,Women's 470,Not Won,,,
Giulia Enrica Emmolo,Italy,20,171,66,Female,10/16/1991,Imperia (ITA),Water Polo,Women's Water Polo,Not Won,,,
Giulia Gorlero,Italy,21,178,69,Female,9/26/1990,Imperia (ITA),Water Polo,Women's Water Polo,Not Won,,,
Giulia Lapi,Italy,26,174,,Female,11/5/1985,Genova (ITA),Synchronised Swimming,Women's Duets,Not Won,,,
Giulia Quintavalle,Italy,29,173,57,Female,3/6/1983,Livorno (ITA),Judo,Women's -57kg,Not Won,,,
Giulia Rambaldi,Italy,25,178,77,Female,11/11/1986,,Water Polo,Women's Water Polo,Not Won,,,
Giulia Rondon,Italy,24,189,74,Female,10/16/1987,Pisa (ITA),Volleyball,Women's Volleyball,Not Won,,,
Giulia Steingruber,Switzerland,18,160,,Female,3/24/1994,St. Gallen (SUI),Gymnastics - Artistic,"Women's Individual All-Around, Women's Qualification",Not Won,,,
Giuliano De Paula,Brazil,22,,,Male,5/31/1990,,Football,Men's Football,Not Won,,,
Giuseppe Angilella,Italy,27,177,77,Male,8/27/1984,Palermo (ITA),Sailing,Men's 49er,Not Won,,,
Giuseppe Giordano,Italy,38,170,74,Male,7/16/1974,Napoli (ITA),Shooting,Men's 50m Pistol,Not Won,,,
Giuseppe Lanzone,United States of America,29,196,98,Male,10/12/1982,,Rowing,Men's Eight,Not Won,,,
Givanildo Vieira De Sousa,Brazil,26,178,91,Male,7/25/1986,,Football,Men's Football,Not Won,,,
Gladys Landaverde,El Salvador,22,162,61,Female,2/23/1990,"SAN IGNACIO, CHALATENANGO (ESA)",Athletics,Women's 1500m,Not Won,,,
Gladys Tejeda,Peru,26,162,46,Female,9/30/1985,Junin (PER),Athletics,Women's Marathon,Not Won,,,
Gleb Galperin,Russian Federation,27,179,70,Male,5/25/1985,Moscow (RUS),Diving,Men's 10m Platform,Not Won,,,
Glencora Ralph,Australia,23,178,67,Female,8/8/1988,Geraldton (AUS),Water Polo,Women's Water Polo,Won,,,0.076
Glenhis Hernandez,Cuba,21,,,Female,10/7/1990,Ciudad Habana (CUB),Taekwondo,Women's +67kg,Not Won,,,
Glenn Kable,Fiji,49,185,92,Male,5/4/1963,Sydney (AUS),Shooting,Men's Trap,Not Won,,,
Glenn Kirkham,Great Britain,29,180,80,Male,10/8/1982,,Hockey,Men's Hockey,Not Won,,,
Glenn O'shea,Australia,23,180,76,Male,6/14/1989,SWAN HILL (AUS),Cycling - Track,"Men's Omnium, Men's Team Pursuit",Won,,0.25,
Glenn Ochal,United States of America,26,193,93,Male,3/1/1986,,Rowing,Men's Four,Won,,,0.25
Glenn Snyders,New Zealand,25,179,81,Male,4/7/1987,KLERKSDORP (RSA),Swimming,"Men's 100m Breaststroke, Men's 200m Breaststroke, Men's 4x100m Medley Relay",Not Won,,,
Glenn Surgeloose,Belgium,22,182,82,Male,9/4/1989,Gent (BEL),Swimming,"Men's 200m Freestyle, Men's 4x200m Freestyle Relay",Not Won,,,
Glenn Warfe,Australia,28,181,72,Male,1/19/1984,WERRIBEE,Badminton,Men's Doubles,Not Won,,,
Gloria Asumnu,Nigeria,27,152,52,Female,5/22/1985,HOUSTON TEXAS (USA),Athletics,"Women's 100m, Women's 200m, Women's 4 x 100m Relay",Not Won,,,
Gloria Hooper,Italy,20,175,63,Female,3/3/1992,VILLAFRANCA DI VERONA (ITA),Athletics,Women's 200m,Not Won,,,
Godfrey Khotso Mokoena,South Africa,27,190,73,Male,3/6/1985,HEIDELBURG (RSA),Athletics,Men's Long Jump,Not Won,,,
Gojko Pijetlovic,Serbia,28,194,100,Male,8/7/1983,Novi Sad (SRB),Water Polo,Men's Water Polo,Not Won,,,
Golan Pollack,Israel,20,175,66,Male,9/10/1991,RAMAT,Judo,Men's -66kg,Not Won,,,
Goldie Sayers,Great Britain,30,171,70,Female,7/16/1982,Newmarket (GBR),Athletics,Women's Javelin Throw,Not Won,,,
Goncalo Carvalho,Portugal,30,175,64,Male,4/1/1982,Lisboa (POR),Equestrian,"Individual Dressage, RUBI",Not Won,,,
Gonzalo Andres Garrido Zenteno,Chile,38,174,69,Male,9/2/1973,CONCEPCION (CHI),Cycling - Road,Men's Road Race,Not Won,,,
Gonzalo Barroilhet,Chile,25,193,94,Male,8/19/1986,Santiago (CHI),Athletics,Men's Decathlon,Not Won,,,
Gonzalo Matias Carou,Argentina,32,194,103,Male,8/15/1979,,Handball,Men's Handball,Not Won,,,
Gonzalo Peillat,Argentina,19,177,77,Male,8/12/1992,,Hockey,Men's Hockey,Not Won,,,
Gonzalo Tellechea,Argentina,27,175,63,Male,7/11/1985,SAN JUAN (ARG),Triathlon,Men's Triathlon,Not Won,,,
Goran Jagar,Serbia,28,193,93,Male,6/10/1984,,Rowing,Men's Four,Not Won,,,
Gordon Cook,Canada,33,178,76,Male,12/3/1978,Toronto (CAN),Sailing,Men's 49er,Not Won,,,
Goril Snorroeggen,Norway,27,177,,Female,2/15/1985,,Handball,Women's Handball,Not Won,,,
Gotoku Sakai,Japan,21,176,74,Male,3/14/1991,,Football,Men's Football,Not Won,,,
Gozde Sonsirma,Turkey,27,183,70,Female,6/26/1985,Kütahya (TUR),Volleyball,Women's Volleyball,Not Won,,,
Grace Carter,Great Britain,22,183,78,Female,8/10/1989,Nottingham (GBR),Volleyball,Women's Volleyball,Not Won,,,
Grace Gao,Canada,22,168,56,Female,10/17/1989,Beijing,Badminton,Mixed Doubles,Not Won,,,
Graciela Martins,Guinea-Bissau,25,166,60,Female,4/5/1987,Bissau (GBS),Athletics,Women's 400m,Not Won,,,
Graciele Herrmann,Brazil,20,,,Female,1/1/1992,Pelotas (BRA),Swimming,Women's 50m Freestyle,Not Won,,,
Graeme Moore,South Africa,23,198,98,Male,1/28/1989,Johannesburg (RSA),Swimming,"Men's 100m Freestyle, Men's 4x100m Freestyle Relay",Not Won,,,
Graham Biehl,United States of America,25,178,73,Male,8/31/1986,San Diego (USA),Sailing,Men's 470,Not Won,,,
Grainne Murphy,Ireland,19,171,71,Female,3/26/1993,Wexford (IRL),Swimming,"Women's 200m Freestyle, Women's 400m Freestyle, Women's 800m Freestyle",Not Won,,,
Grant Goldschmidt,South Africa,29,194,92,Male,4/16/1983,,Beach Volleyball,Men's Beach Volleyball,Not Won,,,
Grant James,United States of America,24,196,88,Male,8/17/1987,,Rowing,Men's Eight,Not Won,,,
Greg Douglas,Canada,22,193,98,Male,6/25/1990,ST MICHAELS (BAR),Sailing,Men's Finn,Not Won,,,
Greg Henderson,New Zealand,35,180,74,Male,9/10/1976,Dunedin (NZL),Cycling - Road,Men's Road Race,Not Won,,,
Greg Rutherford,Great Britain,25,188,87,Male,11/17/1986,MILTON KEYNES (GBR),Athletics,Men's Long Jump,Won,1,,
Greg Searle,Great Britain,40,197,97,Male,3/20/1972,,Rowing,Men's Eight,Won,,,0.111
Greg van Avermaet,Belgium,27,181,72,Male,5/17/1985,LOKEREN (BEL),Cycling - Road,Men's Road Race,Not Won,,,
Grega Bole,Slovenia,26,177,70,Male,8/13/1985,Jesenice (SLO),Cycling - Road,Men's Road Race,Not Won,,,
Greggmar Swift,Barbados,21,183,68,Male,2/16/1991,Bridgetown (BAR),Athletics,Men's 110m Hurdles,Not Won,,,
Gregoire Pennes,France,28,179,,Male,1/7/1984,Paris (FRA),Trampoline,Men's Trampoline,Not Won,,,
Gregolry Panizo,Brazil,27,,,Male,5/12/1985,TUPASSI (BRA),Cycling - Road,Men's Road Race,Not Won,,,
Gregor Hauffe,Germany,30,190,93,Male,5/20/1982,,Rowing,Men's Four,Not Won,,,
Gregorio Paltrinieri,Italy,17,188,66,Male,9/5/1994,CARPI (ITA),Swimming,Men's 1500m Freestyle,Not Won,,,
Gregory Bauge,France,27,181,94,Male,1/31/1985,MAISONS,Cycling - Track,"Men's Sprint, Men's Team Sprint",Won,,1.33,
Gregory Mallet,France,28,195,82,Male,3/21/1984,RUEIL,Swimming,"Men's 200m Freestyle, Men's 4x200m Freestyle Relay",Won,,0.25,
Gregory Rast,Switzerland,32,186,80,Male,1/17/1980,Cham (SUI),Cycling - Road,Men's Road Race,Not Won,,,
Gregory Sedoc,Netherlands,30,179,75,Male,10/16/1981,Amsterdam (NED),Athletics,Men's 110m Hurdles,Not Won,,,
Gregory Wathelet,Belgium,31,190,85,Male,9/10/1980,HUY (BEL),Equestrian,"Individual Jumping, Team Jumping, CADJANINE Z",Not Won,,,
Greta Cicolari,Italy,29,180,65,Female,8/23/1982,,Beach Volleyball,Women's Beach Volleyball,Not Won,,,
Grete Treier,Estonia,34,170,62,Female,12/12/1977,Tartu (EST),Cycling - Road,Women's Road Race,Not Won,,,
Gretta Taslakian,Lebanon,26,171,60,Female,8/16/1985,Ghadir (LIB),Athletics,Women's 200m,Not Won,,,
Greysia Polii,Indonesia,24,160,56,Female,8/11/1987,Jakarta,Badminton,Women's Doubles,Not Won,,,
Grigor Dimitrov,Bulgaria,21,190,81,Male,5/16/1991,,Tennis,Men's Singles,Not Won,,,
Grigoriy Andreev,Russian Federation,36,180,70,Male,1/7/1976,Bashkortostan (RUS),Athletics,Men's Marathon,Not Won,,,
Grigory Sukochev,Australia,24,196,87,Male,2/18/1988,Tashkent (UZB),Volleyball,Men's Volleyball,Not Won,,,
Grit Sadeiko,Estonia,23,172,59,Female,7/29/1989,Tallinn (EST),Athletics,Women's Heptathlon,Not Won,,,
Grzegorz Fijalek,Poland,25,186,81,Male,5/11/1987,,Beach Volleyball,Men's Beach Volleyball,Not Won,,,
Grzegorz Kiljanek,Poland,27,178,75,Male,8/9/1984,NOWE MIASTO NAD PILICA (POL),Canoe Slalom,Men's Canoe Single (C1),Not Won,,,
Grzegorz Kosok,Poland,26,205,96,Male,3/2/1986,Katowice (POL),Volleyball,Men's Volleyball,Not Won,,,
Grzegorz Sudol,Poland,33,175,64,Male,8/28/1978,Nowa Deba (POL),Athletics,Men's 20km Race Walk,Not Won,,,
Guan Wang,People's Republic of China,25,184,77,Male,2/16/1987,Liaoning (CHN),Modern Pentathlon,Men's Modern Pentathlon,Not Won,,,
Gudjon Valur Sigurdsson,Iceland,32,188,85,Male,8/8/1979,,Handball,Men's Handball,Not Won,,,
Guido Riccobelli,Argentina,24,185,86,Male,11/28/1987,,Handball,Men's Handball,Not Won,,,
Guilherme Cobbo,Brazil,24,,65,Male,10/1/1987,URAI (BRA),Athletics,Men's High Jump,Not Won,,,
Guilherme Giovannoni,Brazil,32,202,101,Male,6/2/1980,,Basketball,Men's Basketball,Not Won,,,
Guilherme Toldo,Brazil,19,,,Male,9/1/1992,,Fencing,Men's Individual Foil,Not Won,,,
Guillaume Elmont,Netherlands,30,175,81,Male,8/10/1981,Rotterdam (NED),Judo,Men's -81kg,Not Won,,,
Guillaume Gille,France,36,192,97,Male,7/12/1976,,Handball,Men's Handball,Not Won,,,
Guillaume Joli,France,27,178,81,Male,3/27/1985,,Handball,Men's Handball,Not Won,,,
Guillermo Martinez,Cuba,31,,,Male,6/28/1981,Camaguey (CUB),Athletics,Men's Javelin Throw,Not Won,,,
Guillermo Molina Rios,Spain,28,194,108,Male,3/16/1984,Ceuta (ESP),Water Polo,Men's Water Polo,Not Won,,,
Gulcan Mingir,Turkey,23,165,53,Female,5/21/1989,AFYONKARAHISAR (TUR),Athletics,Women's 3000m Steeplechase,Not Won,,,
Gulden Kayalar Kuzubasioglu,Turkey,31,167,58,Female,12/5/1980,Kütahya (TUR),Volleyball,Women's Volleyball,Not Won,,,
Gulfiya Khanafeyeva,Russian Federation,30,173,70,Female,6/4/1982,Chelyabinsk (RUS),Athletics,Women's Hammer Throw,Not Won,,,
Gulnafis Aitmukhambetova,Kazakhstan,24,175,,Female,2/2/1988,Atyrau (KAZ),Taekwondo,Women's -67kg,Not Won,,,
Gulnar Hayytbaeva,Turkmenistan,27,166,63,Female,3/24/1985,LEBAP (TKM),Judo,Women's -63kg,Not Won,,,
Gulnara Galkina,Russian Federation,34,174,53,Female,7/9/1978,TATARSTAN REGION (RUS),Athletics,Women's 3000m Steeplechase,Not Won,,,
Gulsah Kocaturk,Turkey,26,178,135,Female,1/1/1986,Izmir (TUR),Judo,Women's +78kg,Not Won,,,
Gulzhan Issanova,Kazakhstan,28,181,78,Female,9/12/1983,Karaganda (KAZ),Judo,Women's +78kg,Not Won,,,
Gundegmaa Otryad,Mongolia,34,168,63,Female,5/23/1978,Ulaanbaatar (MGL),Shooting,"Women's 10m Air Pistol, Women's 25m Pistol",Not Won,,,
Gunn-Rita Dahle Flesjaa,Norway,39,,,Female,2/10/1973,Stavanger (NOR),Cycling - Mountain Bike,Women's Cross-country,Not Won,,,
Gunther Weidlinger,Austria,34,169,54,Male,4/5/1978,Braunau (AUT),Athletics,Men's Marathon,Not Won,,,
Gunwoo Park,Republic of Korea,31,174,64,Male,3/13/1981,Seoul (KOR),Sailing,Men's 470,Not Won,,,
Guojian Dong,People's Republic of China,25,170,53,Male,3/16/1987,Yunnan (CHN),Athletics,Men's Marathon,Not Won,,,
Guojie Li,People's Republic of China,26,188,85,Male,10/15/1985,,Fencing,Men's Individual Epee,Not Won,,,
Guolin Zhang,People's Republic of China,27,185,75,Male,3/14/1985,,Rowing,Men's Lightweight Four,Not Won,,,
Guor Marial,Independent Olympic Athletes,28,180,60,Male,4/15/1984,PANRIENG (SUD),Athletics,Men's Marathon,Not Won,,,
Guowei Zhang,People's Republic of China,21,200,77,Male,6/4/1991,Shandong (CHN),Athletics,Men's High Jump,Not Won,,,
Guram Pherselidze,Georgia,26,190,118,Male,10/16/1985,KHELVACHAURI (GEO),Wrestling,Men's 120kg Greco-Roman,Not Won,,,
Gurbaj Singh,India,23,,,Male,8/9/1988,,Hockey,Men's Hockey,Not Won,,,
Gurmeet Singh,India,27,,,Male,7/1/1985,UDHAM SINGH NAGAR (IND),Athletics,Men's 20km Race Walk,Not Won,,,
Gurwinder Singh Chandi,India,22,,,Male,10/20/1989,,Hockey,Men's Hockey,Not Won,,,
Gustav Larsson,Sweden,31,194,80,Male,9/20/1980,OJA (SWE),Cycling - Road,"Men's Individual Time Trial, Men's Road Race",Not Won,,,
Gustavo Balart,Cuba,25,,,Male,2/10/1987,Santiago de Cuba (CUB),Wrestling,Men's 55kg Greco-Roman,Not Won,,,
Gustavo Cuesta,Dominican Republic,23,183,80,Male,11/14/1988,SAN PEDRO DE MACORIS (DOM),Athletics,Men's 4 x 400m Relay,Not Won,,,
Gustavo Lima,Portugal,35,185,86,Male,7/13/1977,Rio De Janeiro (BRA),Sailing,Men's Laser,Not Won,,,
Gustavo Tsuboi,Brazil,27,,63,Male,5/31/1985,Sao Paulo (BRA),Table Tennis,"Men's Singles, Men's Team",Not Won,,,
Guzel Khubbieva,Uzbekistan,36,175,70,Female,5/2/1976,Tashkent (UZB),Athletics,Women's 100m,Not Won,,,
Guzel Manyurova,Kazakhstan,34,165,63,Female,1/24/1978,Moscow (RUS),Wrestling,Women's 72kg Freestyle,Won,,,1
Gwang-Hyeon Choi,Republic of Korea,26,165,60,Male,4/16/1986,Gangwon (KOR),Judo,Men's -60kg,Not Won,,,
Gwen Jorgensen,United States of America,26,178,59,Female,4/25/1986,Waukesha (USA),Triathlon,Women's Triathlon,Not Won,,,
Gyeong-Mi Jeong,Republic of Korea,27,169,78,Female,7/26/1985,Seoul (KOR),Judo,Women's -78kg,Not Won,,,
Gyorgy Grozer,Germany,27,200,104,Male,11/27/1984,Budapest (HUN),Volleyball,Men's Volleyball,Not Won,,,
Gyorgyi Farkas,Hungary,27,170,59,Female,2/13/1985,Budapest (HUN),Athletics,Women's Heptathlon,Not Won,,,
Gyucheol Chang,Republic of Korea,20,183,83,Male,6/11/1992,GYUNGGI (KOR),Swimming,Men's 100m Butterfly,Not Won,,,
Gyujin Choi,Republic of Korea,27,168,55,Male,6/28/1985,GYUNGBUK (KOR),Wrestling,Men's 55kg Greco-Roman,Not Won,,,
Gyula Kate,Hungary,30,177,,Male,2/3/1982,Budapest (HUN),Boxing,Men's Light Welter (64kg),Not Won,,,
Ha Na Kim,Republic of Korea,22,171,51,Female,12/27/1989,Seoul,Badminton,Women's Doubles,Not Won,,,
Ha Na Oh,Republic of Korea,27,175,65,Female,08/01/1985 (KOR),,Fencing,Women's Team Foil,Not Won,,,
Haakan Erik Nyblom,Denmark,30,160,55,Male,11/26/1981,VASA (FIN),Wrestling,Men's 55kg Greco-Roman,Not Won,,,
Habib Fardan Al Fardan,United Arab Emirates,21,179,71,Male,11/11/1990,,Football,Men's Football,Not Won,,,
Habiba Ghribi,Tunisia,28,174,49,Female,4/9/1984,Kairouan (TUN),Athletics,Women's 3000m Steeplechase,Won,,1,
Habibollah Jomeh Akhlaghi,Islamic Republic of Iran,27,179,84,Male,8/3/1985,ANDIMESHK (IRI),Wrestling,Men's 84kg Greco-Roman,Not Won,,,
Haboosh Salbookh Salbookh Alnofeli,United Arab Emirates,23,168,62,Male,7/13/1989,,Football,Men's Football,Not Won,,,
Hadia Hosny,Egypt,24,177,72,Female,7/30/1988,Cairo,Badminton,Women's Singles,Not Won,,,
Hae-Ran Kim,Republic of Korea,28,168,57,Female,3/16/1984,Seoul (KOR),Volleyball,Women's Volleyball,Not Won,,,
Haein Sim,Republic of Korea,24,177,65,Female,10/31/1987,,Handball,Women's Handball,Not Won,,,
Hagos Gebrhiwet,Ethiopia,18,167,65,Male,5/11/1994,TSAEDAENBA (ETH),Athletics,Men's 5000m,Not Won,,,
Hai Pham Thi,Vietnam,23,165,60,Female,6/25/1989,,Rowing,Women's Lightweight Double Sculls,Not Won,,,
Haibing Wang,People's Republic of China,14,180,64,Female,9/7/1997,Shanghai (CHN),Swimming,Women's 4x100m Freestyle Relay,Not Won,,,
Haifeng Fu,People's Republic of China,28,181,77,Male,1/2/1984,Guangdong,Badminton,Men's Doubles,Won,0.5,,
Haikel Achouri,Tunisia,27,184,84,Male,8/29/1984,Tunis (TUN),Wrestling,Men's 84kg Greco-Roman,Not Won,,,
Haiping Liu,People's Republic of China,24,174,72,Female,6/3/1988,Shandong (CHN),Canoe Sprint,Women's Kayak Four (K4) 500m,Not Won,,,
Haiqi Jiang,People's Republic of China,20,199,88,Male,1/17/1992,Shanghai (CHN),Swimming,Men's 4x200m Freestyle Relay,Won,,,0.25
Haislan Veranes Garcia,Canada,29,175,66,Male,3/4/1983,GUANABACOA (CUB),Wrestling,Men's 66kg Freestyle,Not Won,,,
Haitem Ben Alayech,Tunisia,23,165,65,Male,6/10/1989,MORNAG (TUN),Wrestling,Men's 66kg Freestyle,Not Won,,,
Hajung Seok,Republic of Korea,27,172,59,Female,1/11/1985,CHINA,Table Tennis,Women's Team,Not Won,,,
Hak Seon Yang,Republic of Korea,19,159,,Male,12/6/1992,Seoul (KOR),Gymnastics - Artistic,"Men's Team, Men's Qualification",Won,1,,
Hakan Dahlby,Sweden,46,185,85,Male,9/15/1965,VASTERSTAD (SWE),Shooting,Men's Double Trap,Won,,1,
Hakim Zouari,Tunisia,24,197,95,Male,3/28/1988,SFAX (TUN),Volleyball,Men's Volleyball,Not Won,,,
Hakman Kim,Republic of Korea,36,177,80,Male,3/26/1976,Chungnam (KOR),Shooting,Men's 50m Rifle Prone,Not Won,,,
Haley Anderson,United States of America,20,178,68,Female,11/20/1991,Santa Clara (USA),Swimming,Women's 10km Marathon,Won,,1,
Haley Nemra,Marshall Islands,22,168,59,Female,10/4/1989,Washington (USA),Athletics,Women's 800m,Not Won,,,
Halima Hachlaf,Morocco,23,167,56,Female,9/6/1988,BOUMIA (MAR),Athletics,Women's 800m,Not Won,,,
Hamada Mohamed,Egypt,19,178,63,Male,10/22/1992,QENA (EGY),Athletics,Men's 800m,Not Won,,,
Hamadou Djibo Issaka,Niger,35,169,81,Male,7/3/1977,,Rowing,Men's Single Sculls,Not Won,,,
Hamdan Al-Kamali,United Arab Emirates,23,183,74,Male,5/2/1989,,Football,Men's Football,Not Won,,,
Hamid Ezzine,Morocco,28,174,62,Male,10/5/1983,AIN TAOUJDATE (MAR),Athletics,Men's 3000m Steeplechase,Not Won,,,
Hamid Mohammad Soryan Reihanpour,Islamic Republic of Iran,26,169,55,Male,8/24/1985,RAY (IRI),Wrestling,Men's 55kg Greco-Roman,Won,1,,
